split,model,n,brier,logloss,auc
in_sample,M0 (distance only),11548,0.10448291896249293,0.3387409323639623,0.7739859131787805
in_sample,M1 (full GLMM),11548,0.10034086543132342,0.3258424911286391,0.8036769547736633
in_sample,M2 (IPW-corrected),11548,0.09824083266473328,0.3215206778081359,0.8065118762773951
in_sample,M3 (augmented),11548,0.10084699476752611,0.32798797183806744,0.8001468316044854
in_sample,M3 (no PAT),11548,0.10049280980930798,0.3268681685863696,0.8023204760688346
in_sample,M2-pop A (refit),11548,0.10340887627268296,0.3358591071717088,0.7802656715949359
in_sample,M2-pop B (kicker zeroed),11548,0.10356034385689566,0.3363657960341755,0.7800194648871259
test,M0 (distance only),2251,0.10123970834341524,0.33226269679397424,0.7623228233582972
test,M1 (full GLMM),2251,0.10038852068766445,0.3293086395922055,0.7689597362366877
test,M2 (IPW-corrected),2251,0.102587556260671,0.33663955191551126,0.7607608368821107
test,M3 (augmented),2251,0.10141392939662495,0.3323421335163964,0.7668496996650513
test,M3 (no PAT),2251,0.1013038067380747,0.33191303119766763,0.7675839294579986
test,M2-pop A (refit),2251,0.10147951584325414,0.3327490166677704,0.764430237680673
test,M2-pop B (kicker zeroed),2251,0.1013288095436158,0.33281975401624053,0.7635456655967889
